,name,category,artist,popularity,urls,imgs
96,Move Your Feet,happy,Junior Senior,62,https://open.spotify.com/track/4jacsL77ZYnpInmTtUBaJW,https://i.scdn.co/image/ab67616d0000b2731385f5151617aa5e0e9977f0
97,Somebody,happy,Dagny,63,https://open.spotify.com/track/6hCGVqheUBzymvfA7IB4Y9,https://i.scdn.co/image/ab67616d0000b273df44322bfb19d11f84000a9d
98,Send Me On My Way,happy,Rusted Root,70,https://open.spotify.com/track/6XK6Zw6JkFsHXzAcMWNiIr,https://i.scdn.co/image/ab67616d0000b27379e5734d0c151415e3fa8d6f
99,Toast,happy,Smith & Thell,66,https://open.spotify.com/track/5hlwCtGdtDBzXeMBJpD5IK,https://i.scdn.co/image/ab67616d0000b273e344b0eb1e920f17f3e952cc
100,Before You Go,sad,Lewis Capaldi,86,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4
101,Falling,sad,Harry Styles,85,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
102,listen before i go,sad,Billie Eilish,78,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
103,Revenge,sad,XXXTENTACION,88,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
104,Alone,sad,"SadBoyProlific,Ivri",68,https://open.spotify.com/track/50OPOdJbRx9iCJXGultmUf,https://i.scdn.co/image/ab67616d0000b27365e02705b8641e8a0fec21c0
105,you broke me first,sad,Tate McRae,84,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,https://i.scdn.co/image/ab67616d0000b2730c2c97099fd6a637ed0aa4a4
106,Hold On,sad,Chord Overstreet,82,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,https://i.scdn.co/image/ab67616d0000b273c60473419a4ce96822541181
107,Complicated,sad,Olivia O'Brien,71,https://open.spotify.com/track/0jllH0usRFD4LJkJnGK9Lf,https://i.scdn.co/image/ab67616d0000b273041398c37513dc22753ac3dc
108,Lonely (with benny blanco),sad,"Justin Bieber,benny blanco",74,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431
109,Half A Man,sad,Dean Lewis,78,https://open.spotify.com/track/1ugQtcwmKOXvKAYzhjncmv,https://i.scdn.co/image/ab67616d0000b273a787f718fb485b66d6219247
110,Fourth of July,sad,Sufjan Stevens,81,https://open.spotify.com/track/5Qnrgqy1pAm9GyNQOgyVFz,https://i.scdn.co/image/ab67616d0000b273820e2ac14772ae3162c6d479
111,Someone You Loved,sad,Lewis Capaldi,90,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
112,traitor,sad,Olivia Rodrigo,87,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
113,TV,sad,Billie Eilish,87,https://open.spotify.com/track/3GYlZ7tbxLOxe6ewMNVTkw,https://i.scdn.co/image/ab67616d0000b2737a4781629469bb83356cd318
114,Everybody Dies In Their Nightmares,sad,XXXTENTACION,85,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
115,Sorry,sad,Halsey,74,https://open.spotify.com/track/44n97yHySt0Z9rqPaXgjCK,https://i.scdn.co/image/ab67616d0000b2730f7ad6d8d829906c17cae210
116,One Day,sad,Tate McRae,72,https://open.spotify.com/track/4Ey0LK1HzksUqm9JLzzKuD,https://i.scdn.co/image/ab67616d0000b2734de739135ec975b47e65cddd
117,Get You The Moon (feat. Snøw),sad,"Kina,Snøw",80,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,https://i.scdn.co/image/ab67616d0000b2730a64e2680bbc44107022e326
118,Not About Angels,sad,Birdy,74,https://open.spotify.com/track/5sF7hdYvhrcgNq8NZjfK8L,https://i.scdn.co/image/ab67616d0000b273a7a7f6236a9219ffc8e9054c
119,"I miss you, I’m sorry",sad,Gracie Abrams,79,https://open.spotify.com/track/4nyF5lmSziBAt7ESAUjpbx,https://i.scdn.co/image/ab67616d0000b27355c38bc34d1fe852f2657c2e
120,Trying My Best,sad,Anson Seabra,67,https://open.spotify.com/track/6hjh2phISvfR1Ib6S0FK7b,https://i.scdn.co/image/ab67616d0000b273e471b0b396a4dc0c0066d4f1
121,Dancing With Your Ghost,sad,Sasha Alex Sloan,81,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ,https://i.scdn.co/image/ab67616d0000b273141cf717cd3993690358a60c
122,Losing Interest,sad,Papithbk,69,https://open.spotify.com/track/2NYPx7YjNrHteC2RxzTzTZ,https://i.scdn.co/image/ab67616d0000b273ab68cb9a905107fb91256411
123,happier,sad,Olivia Rodrigo,85,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
124,Bored,sad,Billie Eilish,85,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ,https://i.scdn.co/image/ab67616d0000b273e0f2af91be409aad81bba98c
125,Jocelyn Flores,sad,XXXTENTACION,85,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5
126,you were good to me,sad,"Jeremy Zucker,Chelsea Cutler",76,https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P,https://i.scdn.co/image/ab67616d0000b273d841ad4d4aa791514d7e9758
127,Love You From a Distance,sad,Ashley Kutcher,69,https://open.spotify.com/track/4bpyaPa1xruVgE2GtsYbIW,https://i.scdn.co/image/ab67616d0000b273a2bc453ca8bc851449e9e06a
128,Dead and Cold,sad,SadBoyProlific,74,https://open.spotify.com/track/33LizV83s7z1gwtmLiKlmv,https://i.scdn.co/image/ab67616d0000b273a840d5ef4608635304846deb
129,Never Be Alright,sad,Seon,66,https://open.spotify.com/track/6v5vr3SqSczkqIIVeW8RjZ,https://i.scdn.co/image/ab67616d0000b2737e106f6ed9e1acdcc2e38400
130,Let Me Down Slowly,sad,Alec Benjamin,86,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370
131,Never Felt So Alone,sad,Labrinth,88,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo,https://i.scdn.co/image/ab67616d0000b2737dda6cb97a57f116f6fbf0be
132,blame's on me,sad,Alexander Stewart,78,https://open.spotify.com/track/1veHwv1HPwzOvlhs5jPxeP,https://i.scdn.co/image/ab67616d0000b2734fd2d2a9e90bf7d20cc5a354
133,Arcade,sad,Duncan Laurence,76,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,https://i.scdn.co/image/ab67616d0000b27359ce61a220822995a3ccd27f
134,Glimpse of Us,sad,Joji,82,https://open.spotify.com/track/4ewazQLXFTDC8XvCbhvtXs,https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb
