,name,category,artist,popularity,urls
557,Got It On Me,surprise,Pop Smoke,77,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
558,Pure Water (with Migos),surprise,"Mustard,Migos",77,https://open.spotify.com/track/3j84U36KvLeXNDPv4t5pI8
559,Broke In A Minute,surprise,Tory Lanez,77,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
560,GATTI,surprise,"JACKBOYS,Pop Smoke,Travis Scott",77,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
561,United In Grief,surprise,Kendrick Lamar,77,https://open.spotify.com/track/5Gt9bxniM1SxN61yRzRhXL
562,When I Grow Up,surprise,NF,76,https://open.spotify.com/track/5rLyYxZNzca00ENADO9m54
563,Trophies,surprise,"Young Money,Drake",76,https://open.spotify.com/track/6HfOzLLjsaXsehIFEsrxTk
564,Blueberry Faygo,surprise,Lil Mosey,76,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
565,Make No Sense,surprise,YoungBoy Never Broke Again,76,https://open.spotify.com/track/6klLvorLoo1sxvZcjJIY8I
566,Plain Jane,surprise,A$AP Ferg,76,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
567,STARGAZING,surprise,Travis Scott,76,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
568,King Kunta,surprise,Kendrick Lamar,76,https://open.spotify.com/track/0N3W5peJUQtI4eyR6GJT5O
569,679 (feat. Remy Boyz),surprise,"Fetty Wap,Remy Boyz",76,https://open.spotify.com/track/5NQbUaeTEOGdD6hHcre0dZ
570,Headshot (feat. Polo G & Fivio Foreign),surprise,"Lil Tjay,Polo G,Fivio Foreign",76,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
571,Faucet Failure,surprise,Ski Mask The Slump God,76,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
572,Dua Lipa,surprise,Jack Harlow,76,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
573,Come Get Her,surprise,Rae Sremmurd,75,https://open.spotify.com/track/1Ser4X0TKttOvo8bgdytTP
574,Ramen & OJ,surprise,"Joyner Lucas,Lil Baby",75,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
575,Whatever You Like,surprise,T.I.,75,https://open.spotify.com/track/1IAzD1muglOxOcPbUHs70R
576,Transportin',surprise,Kodak Black,75,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
577,POPSTAR (feat. Drake),surprise,"DJ Khaled,Drake",75,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
578,Hate The Other Side (with Marshmello & The Kid Laroi),surprise,"Juice WRLD,Marshmello,The Kid LAROI,Polo G",75,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
579,Trap Queen,surprise,Fetty Wap,75,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ
580,My Band,surprise,D12,75,https://open.spotify.com/track/4XHQyvbrBsQaaBUW1VvmsL
581,Swervin (feat. 6ix9ine),surprise,"A Boogie Wit da Hoodie,6ix9ine",75,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
